,protocol,date,TVL,Fee,Supply,Staking,Unique Addresses,User Growth,price,amount,vol,New Addresses,Active Addresses,Zero Addresses,Number of Transactions,volume,Unnamed: 3,code quality and transparency,biggest drawdown,Correlation
0,dydx,2021-09-10,436558678.5581,0,2808703.879033411,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292132585.0,,9.0,740124602.79206,2
1,dydx,2021-09-10,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292132585.0,,9.0,740124602.79206,2
2,dydx,2021-09-11,447616636.51735,0,1935136.4086788944,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463253756.5,,9.0,740124602.79206,2
3,dydx,2021-09-11,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463253756.5,,9.0,740124602.79206,2
4,dydx,2021-09-12,453306091.8404,0,1231116.9491073191,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302548913.8,,9.0,740124602.79206,2
5,dydx,2021-09-12,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302548913.8,,9.0,740124602.79206,2
6,dydx,2021-09-13,458596671.18704,0,1015364.4590475744,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245355394.4,,9.0,740124602.79206,2
7,dydx,2021-09-13,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245355394.4,,9.0,740124602.79206,2
8,dydx,2021-09-14,469218465.46819,0,550175.939804213,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272602963.1,,9.0,740124602.79206,2
9,dydx,2021-09-14,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272602963.1,,9.0,740124602.79206,2
10,dydx,2021-09-16,501232352.70594,0,360152.04465086287,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211202292.8,,9.0,740124602.79206,2
11,dydx,2021-09-16,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211202292.8,,9.0,740124602.79206,2
12,dydx,2021-09-17,504060730.42762,0,410985.0735268276,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728443946.6,,9.0,740124602.79206,2
13,dydx,2021-09-17,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728443946.6,,9.0,740124602.79206,2
14,dydx,2021-09-18,520461154.37669,0,365654.6425855688,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742012026.3,,9.0,740124602.79206,2
15,dydx,2021-09-18,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742012026.3,,9.0,740124602.79206,2
16,dydx,2021-09-19,524822516.30843,0,288899.8295675496,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382672476.1,,9.0,740124602.79206,2
17,dydx,2021-09-19,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382672476.1,,9.0,740124602.79206,2
18,dydx,2021-09-20,526811250.32959,0,96965.62871663512,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297397420.6,,9.0,740124602.79206,2
19,dydx,2021-09-20,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297397420.6,,9.0,740124602.79206,2
20,dydx,2021-09-21,525827360.15429,0,76302.53074206639,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418284666.5,,9.0,740124602.79206,2
21,dydx,2021-09-21,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418284666.5,,9.0,740124602.79206,2
22,dydx,2021-09-22,537561376.04516,0,89310.01462892111,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403376373.2,,9.0,740124602.79206,2
23,dydx,2021-09-22,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403376373.2,,9.0,740124602.79206,2
24,dydx,2021-09-23,554509885.79651,0,32668.852382942,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349702442.4,,9.0,740124602.79206,2
25,dydx,2021-09-23,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349702442.4,,9.0,740124602.79206,2
26,dydx,2021-09-24,558882974.60466,0,76103.7868600097,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240261230.4,,9.0,740124602.79206,2
27,dydx,2021-09-24,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240261230.4,,9.0,740124602.79206,2
28,dydx,2021-09-25,564485643.70246,0,163967.92585072716,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298191045.7,,9.0,740124602.79206,2
29,dydx,2021-09-25,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298191045.7,,9.0,740124602.79206,2
30,dydx,2021-09-26,596943637.04183,0,576268.7641187306,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299022022.2,,9.0,740124602.79206,2
31,dydx,2021-09-26,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299022022.2,,9.0,740124602.79206,2
32,dydx,2021-09-27,618916315.26956,0,238971.55513042083,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064946676.0,,9.0,740124602.79206,2
33,dydx,2021-09-27,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064946676.0,,9.0,740124602.79206,2
34,dydx,2021-09-28,640516993.50205,0,104985.62887944482,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059269190.0,,9.0,740124602.79206,2
35,dydx,2021-09-28,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059269190.0,,9.0,740124602.79206,2
36,dydx,2021-09-29,662854023.30238,0,232717.62706071127,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998472252.6,,9.0,740124602.79206,2
37,dydx,2021-09-29,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998472252.6,,9.0,740124602.79206,2
38,dydx,2021-09-30,693916346.76151,0,68635.5140534152,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1139487892.0,,9.0,740124602.79206,2
39,dydx,2021-09-30,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1139487892.0,,9.0,740124602.79206,2
40,dydx,2021-10-01,732370699.46473,0,67826.14760673282,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831513748.2,,9.0,740124602.79206,2
41,dydx,2021-10-01,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831513748.2,,9.0,740124602.79206,2
