,protocol,date,TVL,Fee,Supply,Staking,Unique Addresses,User Growth,price,amount,vol,New Addresses,Active Addresses,Zero Addresses,Number of Transactions,volume,code quality and transparency,biggest drawdown,Correlation,Protocol,Prediction output,Risk Level
0,DYDX,2023-10-19,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31301270.22,9.0,740124602.79206,2,DYDX,2,Low
1,Umami,2023-09-08,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,4.446382413841039,1447167.4930268,1.0098080142151291,45.0,191.0,49.0,293.0,300033.7158,5.0,998767636.17838,10,Umami,2,Low
2,Gains Network,2023-10-18,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,2.49225564113541,2863150.809072921,1.3939037017801157,55.0,253.0,82.0,367.0,2325816.932,7.0,1000953659.17838,5,Gains Network,2,Low
3,Beefy,2023-10-18,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,2.434452702902354,1743852.0101158293,1.3021259257560402,131.0,396.0,89.0,545.0,1066611.316,9.0,1000953659.17838,0,Beefy,2,Low
4,LooksRare,2023-11-16,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,4.585266862822551,804406.3347547768,1.0726052525411125,48.0,161.0,36.0,200.0,3720908.268,7.0,1000953659.17838,2,LooksRare,2,Low
5,Ribbon Finance,2023-09-04,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,1.733587277969182,3202844.261177253,0.9946193308464916,113.0,369.0,100.0,427.0,234979.9489,9.0,899933164.28281,0,Ribbon Finance,2,Low
6,Redacted Finance,2023-12-01,384847605.15232,0,39348.98796399189,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,254162.953,6.0,879697961.0012901,0,Redacted Finance,0,Low
7,Dopex,2023-06-18,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,1.3324225812780557,2556185.739062431,0.7841366344562015,71.0,262.0,60.0,405.0,340730.341,8.0,1000953659.17838,0,Dopex,2,Low
8,GMX,2023-06-14,484848238.8428531,0,259304.85732746325,0,87.88808664259928,0,1.4017033519688156,1096641.3754333614,0.8491985916246015,73.0,249.0,74.0,327.0,20571911.98,8.0,998767636.17838,2,GMX,2,Low
9,Curve,2023-10-18,484848238.8428532,0,259304.85732746325,0,87.8880866425993,0,4.423593321950405,6421600.361131259,1.1966201057258383,169.40664375715923,433.2164948453609,135.4994272623139,622.2359679266896,80156567.89,7.0,146744861.89051318,0,Curve,1,Low
10,Synthetix,2023-11-09,484848238.8428533,0,259304.8573274632,0,87.8880866425993,0,4.423593321950405,6421600.36113126,1.1966201057258383,169.40664375715923,433.2164948453609,135.49942726231387,622.2359679266896,47460097.23,8.0,1000953659.17838,0,Synthetix,2,Low
